"","State:County","Intercept","Slope","CBER"
"1","DC:District of Columbia",31.8643399560674,-0.402035658196135,50
"2","MD:Anne Arundel",42.5614884908168,-1.35858526175985,37
"3","MD:Baltimore",30.8135314584321,-0.563264630645091,26
"4","MD:Baltimore city",32.2261582651095,-0.901248985823765,26
"5","MD:Calvert",36.424454844187,-1.42012617405368,3
"6","MD:Caroline",64.4936268134838,-2.32710900597764,0
"7","MD:Carroll",29.4508689264479,-0.608756291976704,9
"8","MD:Cecil",32.5953066635164,-1.45973737090219,1
"9","MD:Charles",39.2443042462862,-0.697343169641448,12
"10","MD:Dorchester",66.5035201484377,-1.7936185235953,1
"11","MD:Frederick",44.981765385832,-1.56546148491455,75
"12","MD:Harford",35.4353778432137,-0.959586516665117,4
"13","MD:Howard",27.4924103893808,-0.629505197828275,97
"14","MD:Kent",53.2904875550182,-2.47498062935637,1
"15","MD:Montgomery",37.8020976360894,-1.11748561743776,643
"16","MD:Prince George's",44.2938030218042,-1.16075977517618,66
"17","MD:Queen Anne's",33.4343978631649,-1.23080961378846,0
"18","MD:St. Mary's",35.2557821377435,-1.03421755384452,0
"19","MD:Talbot",35.238538006849,-0.296398917814619,0
"20","MD:Washington",49.2900444950063,-1.39100484021668,3
"21","VA:Alexandria city",38.1574095996012,-0.868489465222787,7
"22","VA:Arlington",30.7533016499935,-0.106848120050412,9
"23","VA:Clarke",108.694916821328,-5.41863811776743,0
"24","VA:Culpeper",36.6106390791714,0.0429730357629649,2
"25","VA:Fairfax",36.8372294010471,-0.659855804885065,41
"26","VA:Fairfax city",21.0194663395403,-0.508493308835895,2
"27","VA:Falls Church city",36.4084356304765,-1.44774546400833,1
"28","VA:Fauquier",41.9542988652855,-0.411299367881806,1
"29","VA:Frederick",180.846359726094,-4.34891273051131,0
"30","VA:Fredericksburg city",71.0804948893627,-1.48356946814035,0
"31","VA:King George",77.3756192915957,-1.67772946343311,0
"32","VA:Loudoun",78.2807299810747,-2.46310406095342,7
"33","VA:Manassas Park city",17.13748955179,-0.556878591305545,0
"34","VA:Manassas city",52.2216356983999,-0.293452961267075,1
"35","VA:Prince William",62.8066981684237,-1.49304049107988,3
"36","VA:Rappahannock",74.8505226117166,-3.79577778298461,0
"37","VA:Stafford",61.9987502494459,-0.574826930167276,3
"38","VA:Warren",54.0679602952854,-0.0547207000747492,0
"39","VA:Westmoreland",68.6328460802114,-2.40685526756658,0
"40","VA:Winchester city",124.943488329159,-7.16662475232988,0
