"County","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-10","2020-10-11","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-17","2020-10-18","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-24","2020-10-25","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-10-31","2020-11-01","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-07","2020-11-08","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-14","2020-11-15","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-05","2020-12-06","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-19","2020-12-20","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-25","2020-12-26","2020-12-27","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-01","2021-01-02","2021-01-03","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-09","2021-01-10","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-16"
"DC:District of Columbia",1,1,4,4,10,10,10,16,17,22,31,36,39,71,77,98,116,137,183,231,267,304,342,401,495,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10435,10447,10482,10515,10569,10642,10679,10743,10801,10847,10906,10946,11026,11076,11115,11194,11261,11339,11427,11529,11571,11649,11717,11780,11858,11945,11999,12057,12126,12205,12274,12313,12398,12443,12518,12589,12653,12753,12807,12896,12959,13024,13118,13159,13220,13273,13325,13354,13409,13469,13534,13590,13639,13684,13722,13794,13851,13925,13959,13992,14049,14077,14135,14186,14238,14279,14315,14362,14387,14412,14493,14552,14592,14622,14687,14743,14790,14852,14902,14955,14978,15021,15050,15106,15163,15215,15250,15264,15300,15326,15358,15423,15473,15519,15547,15652,15697,15765,15843,15918,15984,16022,16068,16132,16166,16255,16334,16370,16395,16445,16498,16537,16609,16706,16767,16812,16906,16973,17074,17144,17266,17369,17438,17524,17601,17682,17792,17891,18001,18087,18173,18379,18507,18666,18814,18977,19064,19309,19465,19678,19808,19961,20151,20290,20409,20516,20736,20937,21308,21448,21552,21685,21842,22164,22480,22872,23136,23319,23589,23854,24098,24357,24643,24874,25038,25339,25602,25830,26104,26342,26601,26740,26900,27226,27436,27436,27710,28202,28342,28535,28758,28983,29252,29509,29764,29904,30166,30482,30750,31107,31457,31791,31993,32423,32600,32820,33140,0
"MD:Anne Arundel",0,0,0,0,0,0,1,1,2,2,3,4,5,10,16,19,20,24,31,42,63,88,99,110,127,158,206,249,289,319,343,370,466,505,554,615,659,724,783,850,902,972,1012,1053,1104,1164,1197,1301,1380,1438,1518,1552,1579,1670,1733,1815,1893,1967,2026,2054,2094,2203,2300,2381,2472,2501,2530,2606,2670,2760,2809,2864,2901,2989,3041,3140,3215,3290,3315,3365,3402,3457,3565,3652,3752,3794,3851,3933,4018,4089,4159,4219,4245,4276,4318,4357,4430,4462,4531,4616,4632,4760,4805,4844,4871,4889,4913,4925,4955,4965,4993,5013,5050,5063,5100,5117,5142,5187,5208,5247,5269,5298,5313,5349,5399,5431,5479,5522,5570,5627,5691,5743,5821,5910,5963,6011,6070,6113,6152,6237,6351,6388,6477,6545,6607,6692,6778,6864,6967,7016,7080,7123,7209,7252,7304,7370,7425,7460,7489,7538,7574,7628,7658,7710,7744,7792,7819,7871,7932,7976,8021,8047,8101,8142,8200,8274,8310,8361,8410,8479,8547,8636,8710,8762,8831,8868,8903,8956,8997,9076,9130,9202,9313,9409,9463,9515,9571,9634,9689,9725,9771,9824,9885,9945,9981,10039,10085,10129,10198,10276,10335,10388,10441,10485,10539,10584,10667,10744,10800,10887,10927,10998,11065,11163,11234,11277,11348,11403,11445,11526,11580,11657,11736,11790,11884,11933,12052,12127,12214,12268,12373,12460,12552,12665,12807,12982,13079,13236,13347,13507,13607,13763,13960,14141,14319,14492,14672,14943,15115,15306,15483,15599,15727,15951,16126,16309,16416,16597,16754,16931,17178,17330,17639,17970,18205,18441,18659,18927,19268,19560,19879,20184,20402,20561,20743,20954,21236,21468,21687,21937,22133,22379,22723,22994,23266,23421,23647,23802,24058,24421,24828,25156,25378,25642,25794,26143,26491,26929,27359,27784,28216,28430,28689,29030,29372,0
"MD:Baltimore",0,0,0,0,1,1,2,3,3,4,4,7,13,13,19,28,35,42,51,81,103,141,162,186,227,289,353,427,491,590,648,652,866,979,1072,1173,1257,1361,1377,1490,1522,1576,1671,1739,1881,1932,2021,2141,2243,2397,2519,2559,2644,2754,2844,3026,3197,3315,3463,3445,3541,3676,3778,3753,3878,3964,4067,4175,4306,4416,4566,4642,4767,4936,5041,5150,5185,5305,5388,5491,5513,5578,5693,5835,5970,6080,6315,6401,6473,6492,6606,6713,6770,6831,6871,6935,7005,7071,7128,7172,7220,7269,7350,7393,7425,7502,7560,7608,7658,7675,7732,7790,7822,7869,7951,8007,8062,8126,8204,8255,8306,8356,8402,8464,8518,8603,8698,8819,8914,9012,9175,9283,9398,9537,9743,9848,10014,10173,10365,10540,10813,10944,11144,11274,11445,11637,11840,12019,12197,12423,12547,12688,12799,12937,13082,13279,13422,13396,13485,13615,13722,13870,13964,14066,14139,14203,14350,14494,14608,14716,14811,14846,14936,15067,15172,15297,15405,15502,15616,15688,15848,15982,16104,16206,16325,16370,16405,16464,16543,16671,16747,16820,16928,17188,17244,17311,17388,17446,17509,17546,17603,17678,17743,17805,17860,17925,17962,18017,18171,18236,18308,18377,18432,18478,18545,18691,18815,18910,18997,19066,19125,19199,19298,19426,19517,19588,19669,19772,19822,19920,20003,20131,20231,20296,20442,20533,20693,20890,21040,21218,21373,21502,21628,21818,22069,22290,22451,22692,22888,23128,23416,23706,24037,24309,24618,24921,25277,25777,26112,26607,26991,27247,27427,27805,28171,28529,28777,29033,29340,29670,29922,30213,30697,31103,31442,31734,32041,32414,32881,33153,33567,33878,34137,34435,34731,35031,35312,35560,35848,36087,36363,36611,36926,37127,37385,37578,37828,38000,38309,38686,39030,39380,39637,39880,40055,40458,40788,41258,41632,42003,42338,42536,42841,43134,43434,0
"MD:Baltimore city",0,0,0,0,0,0,0,0,1,1,3,7,7,11,15,24,31,41,53,72,103,112,129,152,187,187,265,313,343,394,435,459,571,638,689,756,812,873,962,1062,1164,1277,1381,1397,1516,1547,1608,1678,1734,1797,1872,1939,1984,2021,2076,2171,2246,2328,2420,2618,2761,2865,2950,3217,3326,3362,3413,3485,3514,3615,3727,3806,3838,4010,4159,4347,4499,4682,4791,4897,5006,5062,5211,5434,5572,5672,5612,5696,5809,5914,6046,6149,6237,6304,6363,6436,6517,6567,6641,6698,6755,6790,6874,6914,6947,7002,7062,7104,7157,7219,7267,7308,7372,7425,7507,7556,7615,7711,7799,7867,7907,7970,8011,8082,8167,8262,8380,8502,8579,8702,8849,9012,9155,9298,9442,9519,9658,9752,9856,10015,10224,10367,10593,10716,10840,11018,11206,11420,11591,11762,11859,11968,12090,12255,12390,12562,12720,12909,13007,13078,13225,13356,13440,13522,13581,13658,13723,13820,13913,13997,14088,14126,14191,14262,14332,14403,14444,14498,14555,14589,14646,14712,14787,14854,14982,15014,15057,15112,15180,15201,15272,15317,15254,15103,15147,15195,15222,15244,15277,15310,15347,15392,15449,15502,15543,15600,15623,15646,15810,15881,15915,15971,16040,16073,16117,16280,16371,16407,16465,16525,16560,16601,16664,16698,16790,16859,16923,16954,17017,17096,17198,17329,17457,17523,17598,17681,17791,17868,17994,18118,18229,18310,18475,18628,18842,19083,19214,19376,19567,19787,20025,20216,20489,20756,21029,21205,21428,21802,22030,22486,22719,22952,23107,23381,23702,23975,24140,24329,24541,24782,25026,25290,25707,25973,26215,26439,26613,26918,27218,27485,27817,28067,28291,28428,28608,28874,29041,29177,29352,29599,29886,30101,30311,30461,30633,30798,31010,31144,31333,31558,31932,32153,32338,32524,32710,33003,33236,33549,33869,34142,34421,34464,34699,34928,35220,0
"MD:Calvert",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,7,9,9,14,12,15,18,22,30,33,39,40,41,56,66,76,82,90,94,99,102,103,109,109,113,114,116,118,121,125,130,134,138,139,142,150,161,161,163,172,175,185,189,192,203,207,210,212,215,226,229,238,242,246,256,260,279,292,299,305,308,310,316,321,330,335,342,350,353,349,353,354,355,359,363,364,364,367,371,374,376,377,381,383,386,390,394,395,398,399,403,404,405,409,411,414,415,416,419,420,420,422,423,423,426,436,439,446,450,454,459,460,468,480,484,491,495,496,504,510,516,529,536,547,553,560,566,589,613,620,636,650,661,668,673,686,698,708,714,716,725,726,734,738,743,746,749,756,758,760,762,765,767,769,773,780,784,787,789,792,794,796,808,813,821,827,831,839,844,848,855,863,875,882,886,899,902,906,908,914,915,921,929,934,940,943,951,962,973,981,995,1002,1006,1010,1020,1033,1042,1048,1058,1067,1074,1075,1079,1083,1099,1114,1118,1122,1134,1143,1147,1155,1160,1164,1172,1178,1186,1189,1196,1205,1213,1217,1225,1231,1244,1266,1271,1275,1284,1295,1301,1314,1342,1351,1366,1374,1389,1403,1431,1440,1457,1469,1481,1496,1522,1529,1538,1556,1584,1599,1612,1636,1661,1688,1706,1725,1747,1767,1802,1813,1823,1850,1868,1894,1917,1925,1940,1969,1976,1995,2016,2033,2056,2075,2106,2125,2154,2165,2187,2206,2232,2269,2302,2338,2379,2395,2428,2509,2543,2612,2680,2752,2784,2822,2851,2900,0
"MD:Caroline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,6,11,11,12,12,15,17,21,21,22,23,28,33,33,39,41,41,50,55,61,63,68,69,69,71,74,79,95,98,99,101,105,107,110,133,167,174,177,183,190,200,191,200,208,210,216,223,231,240,241,243,243,245,248,253,259,260,263,265,268,268,270,272,272,273,276,278,279,282,283,283,284,284,285,288,290,294,294,296,297,302,309,315,315,318,319,320,321,321,322,322,322,323,325,329,332,334,336,336,345,347,350,351,352,360,365,367,368,371,374,393,403,412,416,418,418,423,430,432,438,439,441,444,445,445,451,453,453,454,455,457,460,461,465,468,471,472,472,477,478,479,480,481,485,489,496,504,510,513,520,522,535,563,565,570,572,572,582,584,606,609,609,612,620,620,622,632,634,636,638,638,640,640,644,646,652,654,657,659,661,662,662,664,666,668,674,677,680,683,683,684,686,688,687,699,704,704,710,713,721,726,729,732,736,740,740,750,753,760,765,767,767,767,772,774,777,778,781,783,785,786,798,804,810,819,823,825,839,844,860,869,878,890,902,919,938,945,952,972,983,990,1003,1030,1039,1047,1065,1086,1090,1104,1130,1148,1156,1171,1182,1187,1190,1195,1205,1215,1218,1231,1232,1241,1260,1263,1275,1281,1288,1295,1319,1341,1360,1370,1378,1394,1400,1420,1467,1482,1502,1542,1556,1560,1575,1608,0
"MD:Carroll",0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,4,5,5,5,7,9,83,83,83,94,96,105,129,134,142,150,159,186,203,214,214,236,250,259,264,285,290,310,314,336,330,344,355,372,384,391,403,416,421,436,460,480,494,506,513,521,534,542,551,560,583,589,595,619,635,633,646,703,712,721,734,757,767,785,804,813,821,843,863,881,914,916,929,943,950,963,953,955,957,966,972,979,980,986,992,995,990,1008,1012,1030,1030,1032,1033,1063,1084,1103,1106,1106,1107,1116,1119,1138,1151,1157,1158,1160,1166,1184,1190,1192,1202,1212,1220,1224,1227,1231,1238,1251,1259,1272,1279,1299,1314,1318,1339,1357,1371,1393,1404,1416,1437,1451,1469,1483,1493,1505,1513,1518,1532,1539,1548,1556,1569,1575,1586,1599,1606,1611,1616,1625,1626,1628,1635,1641,1650,1654,1658,1663,1668,1672,1682,1689,1697,1703,1714,1731,1747,1772,1783,1791,1799,1810,1818,1823,1845,1855,1866,1874,1884,1891,1894,1903,1912,1915,1920,1924,1928,1940,1947,1951,1955,1960,1968,1978,1990,2003,2006,2011,2025,2037,2046,2054,2072,2082,2089,2095,2102,2111,2123,2131,2140,2144,2155,2162,2171,2178,2195,2205,2214,2222,2234,2261,2281,2297,2304,2314,2333,2357,2367,2399,2424,2454,2477,2507,2554,2595,2618,2685,2706,2740,2783,2848,2883,2933,2981,3023,3055,3095,3138,3177,3225,3257,3294,3330,3369,3418,3445,3520,3597,3684,3731,3799,3846,3885,3938,4060,4144,4201,4264,4314,4414,4472,4544,4598,4645,4709,4767,4826,4869,4910,4948,4974,5057,5105,5172,5253,5317,5359,5397,5465,5543,5592,5745,5846,5900,5958,6020,6066,6144,6215,0
"MD:Cecil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,9,13,13,13,14,16,20,25,33,36,37,41,49,54,64,66,74,83,85,90,101,127,131,131,134,134,134,140,144,146,154,163,163,164,167,176,187,188,194,195,200,208,211,219,242,267,270,271,291,300,308,308,318,323,328,331,339,342,345,348,353,354,356,364,366,371,369,377,381,388,393,399,404,408,417,423,429,435,440,444,446,451,456,457,460,461,461,462,462,465,461,463,474,474,479,480,481,487,488,491,495,499,506,513,515,519,527,528,530,532,537,539,543,551,554,560,567,571,577,584,597,598,602,608,613,620,623,631,648,656,663,673,682,690,699,703,707,709,715,716,720,725,727,737,739,740,745,753,758,762,766,767,768,769,770,777,783,789,796,803,810,825,839,849,854,859,863,879,887,905,912,919,943,950,965,969,986,998,1011,1018,1026,1035,1039,1057,1058,1069,1080,1086,1091,1109,1119,1121,1126,1128,1135,1140,1149,1164,1169,1173,1180,1191,1193,1245,1263,1270,1276,1285,1292,1300,1308,1311,1323,1326,1341,1349,1355,1366,1373,1382,1391,1399,1408,1428,1440,1460,1467,1474,1490,1509,1527,1540,1571,1597,1641,1670,1695,1745,1796,1821,1858,1891,1926,1947,1982,2026,2048,2080,2111,2158,2201,2244,2290,2349,2393,2437,2516,2600,2646,2676,2787,2822,2870,2925,2950,2986,3026,3093,3148,3195,3258,3272,3318,3363,3427,3449,3472,3508,3537,3570,3622,3689,3720,3746,3787,3833,3871,3917,3962,4012,4102,4127,4160,4215,4269,0
"MD:Charles",0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,5,5,5,8,10,17,21,28,33,40,56,69,90,95,111,129,136,164,180,220,235,253,274,292,310,327,337,347,370,393,402,428,443,460,484,505,530,540,552,565,613,624,640,654,663,673,701,719,730,749,757,762,779,798,831,846,861,869,896,922,944,958,971,991,999,1003,1009,1028,1057,1086,1109,1121,1134,1153,1176,1187,1198,1204,1213,1218,1233,1237,1250,1266,1271,1274,1279,1293,1296,1296,1306,1315,1330,1335,1343,1352,1359,1364,1373,1385,1395,1401,1418,1428,1432,1439,1443,1453,1475,1485,1498,1504,1519,1530,1536,1554,1569,1585,1595,1611,1621,1644,1661,1681,1697,1721,1732,1755,1774,1798,1821,1834,1857,1880,1911,1934,1949,1963,1985,2002,2026,2042,2069,2086,2104,2121,2154,2167,2177,2200,2215,2226,2236,2252,2262,2280,2308,2321,2333,2348,2368,2384,2396,2405,2413,2426,2441,2452,2466,2487,2496,2505,2519,2538,2556,2572,2593,2609,2630,2648,2666,2688,2696,2705,2718,2727,2739,2747,2755,2761,2772,2781,2800,2821,2831,2843,2853,2862,2871,2880,2890,2906,2924,2937,2944,2949,2964,2985,2993,3009,3020,3031,3043,3052,3069,3080,3092,3115,3138,3156,3170,3189,3210,3228,3249,3265,3275,3301,3326,3379,3421,3445,3486,3518,3555,3594,3618,3672,3719,3740,3792,3833,3882,3940,3992,4027,4067,4106,4160,4186,4256,4278,4319,4393,4436,4504,4524,4595,4668,4719,4754,4805,4887,4946,4995,5071,5143,5184,5235,5290,5323,5384,5446,5493,5536,5593,5665,5718,5769,5810,5854,5893,5923,5988,6037,6117,6181,6230,6289,6329,6397,6472,6535,6625,6696,6772,6819,6891,6958,7023,0
"MD:Dorchester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,7,7,8,9,12,14,16,18,20,20,21,23,25,28,31,32,38,46,51,52,51,51,54,59,71,75,76,79,85,86,91,95,98,102,102,104,107,111,111,122,122,122,124,126,126,127,128,130,133,136,140,141,142,142,144,147,152,153,154,155,156,157,157,159,160,161,162,165,166,170,170,174,180,183,183,183,183,184,182,183,185,188,188,188,189,188,192,201,201,199,199,199,203,209,217,217,217,219,231,232,238,245,246,246,288,294,303,305,317,319,319,319,326,340,349,351,352,352,353,360,365,371,371,375,378,378,393,394,402,408,413,407,408,416,425,427,429,430,430,430,437,443,451,458,461,462,461,468,473,485,498,500,502,502,505,509,514,527,530,538,546,554,557,568,571,575,578,578,582,587,592,593,593,594,594,598,608,613,614,615,616,617,622,625,633,639,642,642,644,653,661,679,687,695,711,715,735,742,761,769,775,779,782,797,808,821,829,833,835,837,839,848,858,869,873,874,878,886,898,905,910,911,918,919,929,932,950,961,968,970,970,988,996,998,1004,1011,1021,1030,1034,1045,1061,1085,1085,1091,1098,1129,1135,1152,1164,1175,1177,1182,1194,1212,1224,1257,1266,1281,1290,1295,1301,1308,1319,1323,1334,1337,1372,1382,1397,1420,1438,1443,1458,1527,1538,1597,1618,1627,1645,1658,1732,1759,0
