"County","Last_Update","Confirmed","Deaths"
"DC:District of Columbia",2020-09-17,14790,619
"MD:Anne Arundel",2020-09-17,9463,242
"MD:Baltimore",2020-09-17,17244,614
"MD:Baltimore city",2020-09-17,15147,478
"MD:Calvert",2020-09-17,899,28
"MD:Caroline",2020-09-17,620,3
"MD:Carroll",2020-09-17,1891,123
"MD:Cecil",2020-09-17,965,32
"MD:Charles",2020-09-17,2648,96
"MD:Dorchester",2020-09-17,554,10
"MD:Frederick",2020-09-17,3841,129
"MD:Harford",2020-09-17,2887,76
"MD:Howard",2020-09-17,4869,119
"MD:Kent",2020-09-17,295,24
"MD:Montgomery",2020-09-17,21614,836
"MD:Prince George's",2020-09-17,28580,817
"MD:Queen Anne's",2020-09-17,627,26
"MD:St. Mary's",2020-09-17,1232,57
"MD:Talbot",2020-09-17,520,5
"MD:Washington",2020-09-17,1556,36
"VA:Alexandria city",2020-09-17,3649,66
"VA:Arlington",2020-09-17,3791,146
"VA:Clarke",2020-09-17,90,0
"VA:Culpeper",2020-09-17,1170,16
"VA:Fairfax",2020-09-17,19921,573
"VA:Fairfax city",2020-09-17,133,7
"VA:Falls Church city",2020-09-17,67,6
"VA:Fauquier",2020-09-17,885,21
"VA:Frederick",2020-09-17,829,11
"VA:Fredericksburg city",2020-09-17,523,5
"VA:King George",2020-09-17,226,4
"VA:Loudoun",2020-09-17,6567,120
"VA:Manassas city",2020-09-17,1874,24
"VA:Manassas Park city",2020-09-17,599,8
"VA:Prince William",2020-09-17,11883,196
"VA:Rappahannock",2020-09-17,64,2
"VA:Stafford",2020-09-17,1904,13
"VA:Warren",2020-09-17,409,6
"VA:Westmoreland",2020-09-17,252,3
"VA:Winchester city",2020-09-17,475,4
"AllCounties",2020-09-17,185553,5601
