County,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20
DC:District of Columbia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,5,9,9,11,12,15,21,22,24,24,27,32,38,47,50,52,67,72,81,86,91,96,105,112,127,139,153,165,178,185,190,205,224,231,240,251,258,264,277,285,304,311,323,328,336,350,358,368,375,383,392,400,407,412,418,427,432,440,440,445,453,460,462,466,468,470,473,475,479,483,489,491,495,499,502,506,511,515,515,520,523,527,530,531,533,535,537,541,543
MD:Anne Arundel,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,6,8,8,11,12,16,19,27,29,32,30,35,40,41,46,48,52,56,61,63,70,71,74,78,83,91,90,94,96,101,107,108,111,115,117,121,124,127,133,135,136,141,142,142,145,145,147,149,150,153,157,159,163,163,167,172,174,175,178,178,179,182,185,185,185,186,190,191,192,192,194,194,194,195,196,198,200,200,200,201,202,201
MD:Baltimore,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,11,11,13,16,21,26,30,31,41,32,37,44,45,50,50,58,67,71,74,79,81,98,107,118,123,129,139,147,151,157,163,169,177,185,191,194,204,218,223,234,240,250,255,263,277,286,292,299,300,307,312,320,323,336,340,344,349,358,366,371,376,384,386,388,398,402,406,410,416,422,424,427,432,437,442,448,451,455,458,460,460
MD:Calvert,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,3,3,4,5,6,6,7,7,7,8,8,8,9,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,14,15,15,15,15,16,16,18,17,17,18,18,18,18,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,23,23,23,23,23,24,25,26
MD:Carroll,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,6,8,10,16,18,18,19,25,25,28,29,30,30,30,37,36,36,38,38,38,10,47,47,37,44,53,54,58,59,59,59,61,61,54,56,58,58,58,60,61,62,64,66,67,68,69,71,70,73,76,76,79,80,86,85,85,90,90,92,93,96,98,98,101,101,101,102,103,103,103,105,105,105,105,105,108,108,109,109,109,109,109,109
MD:Cecil,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,5,5,5,5,5,5,6,8,8,8,8,9,10,13,13,13,13,13,13,13,15,15,17,17,17,17,17,18,20,20,20,20,21,21,21,21,22,22,22,23,23,24,24,24,24,24,24,24,25,25,27,28,30,30,30,30,30,29,29,29,29,29,29,29,29
MD:Charles,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,9,10,12,11,13,15,16,17,20,23,30,32,34,35,35,37,39,42,44,46,47,50,50,50,52,51,54,53,54,54,55,57,59,61,62,62,62,63,64,65,67,69,69,69,70,71,72,72,72,72,73,73,75,79,79,81,80,80,82,83,83,82,83,83,83,83,85,86,86,86,86,86,86,86,86
MD:Dorchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
MD:Frederick,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4,4,9,11,12,12,14,27,29,30,31,30,30,33,35,36,41,45,45,48,48,51,56,56,59,61,62,66,68,70,70,72,74,74,77,80,84,88,89,90,90,90,93,94,95,96,98,99,101,103,104,105,105,105,106,107,109,109,110,111,111,111,111,112,112,114,114,114,114,115,115,115,116,116,116,116,116,116,116
MD:Harford,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,6,5,6,6,7,8,8,9,11,11,11,13,13,13,15,16,16,16,19,21,22,24,25,25,25,27,28,32,32,33,34,34,35,39,40,46,46,48,48,48,49,49,49,49,51,51,51,51,51,51,52,53,53,55,57,57,58,58,58,58,59,61,62,61,61,61,61,61,61,61
